latitude,longitude,X,Y,sand,clay,L,a,b,textural_class
38.71552,-97.43671,635915.5779,4286160.846,18.5,30.2,42.4,6.1,11.6,Silty clay loam
38.71768,-97.43611,635963.6527,4286401.437,24.3,28.1,43.8,5.9,11.8,Clay loam
38.71686,-97.43662,635920.8646,4286309.682,18.6,30.9,42.7,5.8,11,Silty clay loam
38.71592,-97.43618,635960.9017,4286206.021,16.6,32.2,43.7,5.7,11.3,Silty clay loam
38.71641,-97.43519,636046.0495,4286261.868,33.7,26.6,46.3,6.5,13.8,Loam
38.71769,-97.43448,636105.3527,4286404.968,45.6,20.6,46.5,7.7,15.4,Loam
38.71762,-97.43505,636055.9273,4286396.353,40.7,21.6,47.9,7.6,15,Loam
38.7155,-97.43666,635919.9631,4286158.7,13.4,33.5,43.5,5.4,10.9,Silty clay loam
38.71645,-97.43517,636047.7125,4286266.337,31.6,23,45,7,14.3,Loam
38.7173,-97.43571,635999.1507,4286359.861,18.2,29.6,41.4,5.6,11.1,Silty clay loam
38.71798,-97.43631,635945.6955,4286434.432,13.1,29.8,43.4,5.7,11.2,Silty clay loam
38.7159,-97.4365,635933.1168,4286203.327,23.5,32.7,42.9,6.9,13.9,Clay loam
38.71793,-97.43349,636190.9719,4286433.073,36.9,21.9,44.9,7.1,14.3,Loam
38.71794,-97.43382,636162.2614,4286433.692,24.7,31.1,45,6.1,13.8,Clay loam
38.71794,-97.43433,636117.92,4286432.934,37.1,31.1,47.4,8.1,17.8,Clay loam
38.71684,-97.43351,636191.302,4286312.083,18.6,24.5,42.3,5.7,12.4,Silt loam
38.71798,-97.43597,635975.2563,4286434.937,30,28.1,43.5,7.6,14.9,Clay loam
38.71648,-97.43623,635955.4933,4286268.092,17.9,28.3,44.2,5.9,11.7,Silty clay loam
38.71725,-97.43467,636089.6679,4286355.858,35,20.3,45.6,7.1,14.3,Loam
38.71725,-97.43413,636136.6181,4286356.66,44.5,15.2,45.5,7.2,14.3,Loam
38.71593,-97.43671,635914.8013,4286206.344,18.6,25.8,43.7,6,11.7,Silt loam
38.71593,-97.43455,636102.6052,4286209.552,34.4,19,45.1,6.7,14.3,Loam
38.71684,-97.43556,636013.0644,4286309.037,30,23,43.3,5.9,12,Loam
38.71679,-97.43398,636150.5327,4286305.836,40.1,19,45.6,7.1,14.5,Loam
38.71722,-97.4335,636191.4502,4286354.268,33.9,25.6,46.9,6.4,13.6,Loam
38.71549,-97.43576,635998.2342,4286158.927,21.7,28.1,42.8,6,11.6,Clay loam
38.71634,-97.43359,636185.2954,4286256.478,38.2,17.8,45.1,6.6,13.6,Loam
38.71594,-97.43512,636053.0269,4286209.815,26.3,29.6,46.6,6.7,14.7,Clay loam
38.7168,-97.43452,636103.5633,4286306.143,35.6,21.6,47.5,7.4,15.8,Loam
38.71637,-97.43411,636140.0267,4286259.034,46.4,17.8,45,7.3,14.7,Loam
38.7164,-97.43465,636093.0191,4286261.561,45.1,19,46.6,7.2,14.8,Loam
38.71651,-97.43664,635919.7888,4286270.812,26.2,26.8,42.5,5.8,11.5,Loam
38.71685,-97.4361,635966.0951,4286309.345,23,28.1,42.9,5.7,11.5,Clay loam
38.71725,-97.43575,635995.7677,4286354.253,29.4,23,44.4,5.9,11.9,Loam
38.71766,-97.43558,636009.771,4286400.005,31.9,23,45,6.2,12.8,Loam
