date,cs655,cs229
9/3/2014,0.141,0.247
9/4/2014,0.121,0.213
9/5/2014,0.115,0.18
9/6/2014,0.338,0.341
9/7/2014,0.329,0.35
9/8/2014,0.304,0.35
9/9/2014,0.275,0.347
9/10/2014,0.243,0.341
9/11/2014,0.223,0.334
9/12/2014,0.209,0.327
9/13/2014,0.197,0.321
9/14/2014,0.181,0.315
9/15/2014,0.166,0.307
9/16/2014,0.154,0.298
9/17/2014,0.144,0.29
9/18/2014,0.221,0.28
9/19/2014,0.246,0.28
9/20/2014,0.219,0.281
9/21/2014,0.199,0.28
9/22/2014,0.182,0.278
9/23/2014,0.163,0.274
9/24/2014,0.146,0.271
9/25/2014,0.135,0.263
9/26/2014,0.128,0.254
9/27/2014,0.124,0.239
9/28/2014,0.121,0.222
9/29/2014,0.12,0.204
9/30/2014,0.118,0.19
10/1/2014,0.118,0.181
10/2/2014,0.117,0.177
10/3/2014,0.115,0.173
10/4/2014,0.114,0.17
10/5/2014,0.113,0.168
10/6/2014,0.113,0.166
10/7/2014,0.114,0.169
10/8/2014,0.115,0.17
10/9/2014,0.114,0.171
10/10/2014,0.21,0.269
10/11/2014,0.241,0.328
10/12/2014,0.229,0.336
10/13/2014,0.336,0.35
10/14/2014,0.325,0.349
10/15/2014,0.309,0.349
10/16/2014,0.294,0.348
10/17/2014,0.277,0.348
10/18/2014,0.262,0.346
10/19/2014,0.248,0.345
10/20/2014,0.235,0.343
10/21/2014,0.224,0.341
10/22/2014,0.212,0.338
10/23/2014,0.227,0.335
10/24/2014,0.222,0.333
10/25/2014,0.209,0.331
10/26/2014,0.194,0.328
10/27/2014,0.179,0.324
10/28/2014,0.166,0.319
10/29/2014,0.157,0.313
10/30/2014,0.148,0.309
10/31/2014,0.141,0.304
11/1/2014,0.137,0.298
11/2/2014,0.134,0.294
11/3/2014,0.138,0.297
11/4/2014,0.37,0.349
11/5/2014,0.351,0.349
11/6/2014,0.341,0.348
